moduleCode,moduleName,examCode,examLink
AN1P01,ANATOMY - LIMBS BACK AND THORAX,AN1P01-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AN/AN1P01-1%20Edited.pdf
AN1RT3,ANATOMY I,AN1RT3-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AN/AN1RT3-1%20Edited.pdf
AN2P01,ANATOMY - HEAD AND NECK/NEUROANATOMY (MCQ) - not available,AN2P01-1,
AN2RT1,ANATOMY,AN2RT1-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AN/AN2RT1-1%20Edited.pdf
AN2S03,ANATOMY,AN2S03-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AN/AN2S03-1%20Edited.pdf
AN3MNA,NEUROANATOMY (MCQ) - not available,AN3MNA-1,
AP1001,BIOLOGY PAPER 1,AP1001-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1001-2.PDF
AP1001,BIOLOGY PAPER 2,AP1001-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1001-3.PDF
AP1002,CHEMISTRY PAPER 1,AP1002-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1002-2.PDF
AP1002,CHEMISTRY PAPER 2,AP1002-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1002-3.PDF
AP1004,ECONOMICS PAPER,AP1004-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1004-2.PDF
AP1010,LAW PAPER,AP1010-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1010-2.PDF
AP1014,PHILOSOPHY PAPER,AP1014-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1014-2.PDF
AP1015,PHYSICS PAPER,AP1015-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1015-2.PDF
AP1016,POLITICAL SCIENCE PAPER,AP1016-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1016-2.PDF
AP1017,PSYCHOLOGY PAPER,AP1017-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1017-2.PDF
AP1018,SOCIOLOGY AND SOCIAL POLICY,AP1018-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1018-2.PDF
AP1022,MATHEMATICS AND STATISTICS,AP1022-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1022-2.PDF
AP1023,MATHEMATICS FOR SCIENCES,AP1023-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1023-2.PDF
AP1025,ENGLISH PAPER 1,AP1025-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1025-2.PDF
AP1025,ENGLISH PAPER 2,AP1025-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1025-3.PDF
AP1027,HISTORY PAPER 1,AP1027-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1027-2.PDF
AP1027,HISTORY PAPER 2,AP1027-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1027-3.PDF
AP1030,BIOLOGY 2,AP1030-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1030-2.PDF
AP1030,BIOLOGY B PAPER 2,AP1030-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/AP/AP1030-3.PDF
BI2RT1,BIOCHEMISTRY (SF RT),BI2RT1-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI2RT1-2.PDF
BI3010,JS BIOCHEMISTRY & JS MOLECULAR MEDICINE PAPER 3,BI3010-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3010-2.PDF
BI3110,JS BIOCHEMISTRY PAPER 1,BI3110-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3110-2.PDF
BI3120,JS BIOCHEMISTRY PAPER 2,BI3120-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3120-2.PDF
BI3140,JS BIOCHEMISTRY PAPER 4,BI3140-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3140-2.PDF
BI3210,JS IMMUNOLOGY PAPER 1,BI3210-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3210-2.PDF
BI3220,JS IMMUNOLOGY PAPER 4,BI3220-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3220-2.PDF
BI3230,JS IMMUNOLOGY PAPER 3,BI3230-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3230-2.PDF
BI3240,JS IMMUNOLOGY PAPER 2,BI3240-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3240-2.PDF
BI3310,JS MOLECULAR MEDICINE PAPER 1,BI3310-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3310-2.PDF
BI3320,JS MOLECULAR MEDICINE PAPER 2,BI3320-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3320-2.PDF
BI3330,JS MOLECULAR MEDICINE PAPER 4,BI3330-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3330-2.PDF
BI3415,BIOCHEMISTRY IN HEALTH & DISEASE (NEUROSCIENCE),BI3415-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3415-1.PDF
BI3425,NUCLEIC ACIDS (NEUROSCIENCE),BI3425-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3425-1.PDF
BI3445,NEUROCHEMISTRY I,BI3445-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3445-1.PDF
BI3510,FUNDAMENTAL AND APPLIED IMMUNOLOGY (HHD),BI3510-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3510-3.PDF
BI3525,SIGNAL TRANSDUCTION AND GENE REGULATION (HHD),BI3525-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3525-2.PDF
BI3945,BIOCHEMISTRY (INTERNATIONAL) PAPER 3,BI3945-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3945-1.PDF
BI3955,BIOCHEMISTRY (iNTERNATIONAL) PAPER 4,BI3955-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI3955-1.PDF
BI4135,SS BIOCHEMISTRY PAPER 1,BI4135-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4135-1.PDF
BI4145,SS BIOCHEMISTRY PAPER 2,BI4145-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4145-1.PDF
BI4155,SS BIOCHEMISTRY PAPER 3,BI4155-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4155-1.PDF
BI4165,SS BIOCHEMISTRY PAPER 4,BI4165-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4165-1.PDF
BI4215,SS IMMUNOLOGY PAPER 1,BI4215-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4215-1.PDF
BI4235,SS IMMUNOLOGY PAPER 2,BI4235-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4235-1.PDF
BI4245,SS IMMUNOLOGY PAPER 3,BI4245-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4245-1.PDF
BI4265,SS IMMUNOLOGY PAPER 4,BI4265-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4265-1.PDF
BI4315,SS MOLECULAR MEDICINE PAPER 1,BI4315-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4315-1.PDF
BI4345,SS MOLECULAR MEDICINE PAPER 2,BI4345-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4345-1.PDF
BI4355,SS MOLECULAR MEDICINE PAPER 3,BI4355-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4355-1.PDF
BI4365,SS MOLECULAR MEDICINE PAPER 4,BI4365-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4365-1.PDF
BI4415,SENIOR SOPHISTER NEUROSCIENCE PAPER 4,BI4415-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BI/BI4415-1.PDF
BI4445,SENIOR SOPHISTER NEUROSCIENCE PAPER 1,X-BI4445-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BI4445-1.PDF
BI4455,SENIOR SOPHISTER NEUROSCIENCE PAPER 1,X-BI4445-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BI4445-1.PDF
BI4515,MOLECULAR HAEMATOLOGY AND ONCOLOGY (HHD),X-BI4515-1,
BI4525,MOLECULAR HAEMATOLOGY AND ONCOLOGY (HHD),X-BI4515-1,
BO3100,PLANT PHYSIOLOGY,BO3100-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO3100-2.PDF
BO3107,PLANT MOLECULAR BIOLOGY,BO3107-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO3107-2.PDF
BO3122,ENTOMOLOGY,BO3122-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO3122-2.PDF
BO3123,SOIL SCIENCE,BO3123-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO3123-2.PDF
BO4103,PLANT CONSERVATION AND BIODIVERSITY,BO4103-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4103-2.PDF
BO4105,GLOBAL ENVIRONMENTAL CHANGE,BO4105-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4105-2.PDF
BO4106,PLANT SCIENCE ESSAY PAPER,BO4106-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4106-2.PDF
BO4106,PLANT SCIENCE PROBLEM PAPER,BO4106-3,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4106-3.PDF
BO4107,PLANT ANIMAL INTERACTIONS,BO4107-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4107-2.PDF
BO4108,PLANT-ENVIRONMENT INTERACTIONS,BO4108-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4108-1.PDF
BO4110,THE EVOLUTION OF PLANTS AND PLANT ATMOSPHERE INTER,BO4110-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BO/BO4110-1.PDF
BU1511,FUNDAMENTALS OF MANAGEMENT AND ORGANISATION (MCQ) - not available,BU1511-1,
BU1512,FUNDAMENTALS OF MANAGEMENT AND ORGANISATION (MCQ) - not available,BU1512-1,
BU1520,ECONOMICS FOR MANAGEMENT,BU1520-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU1520-1-%20Edited.pdf
BU1530,QUANTATIVE METHODS FOR BUSINESS,BU1530-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU1530-1.PDF
BU1540,FUNDAMENTALS OF PHILOSOPHY ETHICS AND SOCIAL SCIENCE,BU1540-1,
BU2510,ORGANISATIONAL BEHAVIOUR,BU2510-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU2510-1.PDF
BU2520,PRINCIPLES OF MARKETING,BU2520-1,
BU2530,INTRODUCTION TO ACCOUNTING,BU2530-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU2530-1.PDF
BU2550,INTRODUCTION TO FINANCE,BU2550-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU2550-1.PDF
BU3520,MANAGEMENT ACCOUNTING FOR BUSINESS DECISIONS,X-BU3520-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU3520-1.PDF
BU352C,MANAGEMENT ACCOUNTING FOR BUSINESS DECISIONS,X-BU3520-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU3520-1.PDF
BU3530,FINANCIAL  ACCOUNTING,X-BU3530-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU3530-1.PDF
BU353C,FINANCIAL  ACCOUNTING,X-BU3530-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU3530-1.PDF
BU3601,INNOVATION ENTREPRENEURSHIP AND BUSINESS MODELLIN,BU3601-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU3601-1.PDF
BU3620,INTRODUCTION TO FIXED INCOME SECURITIES AND ALTERN,BU3620-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU3620-1.PDF
BU3631,CORPORATE FINANCE AND EQUITY VALUATION (MCQ) - not available,BU3631-1,
BU3650,DIGITAL TECHNOLOGY IN OPERATIONS,BU3650-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU3650-1.PDF
BU3690,SOCIAL ENTREPRENEURSHIP,BU3690-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU3690-1.PDF
BU3710,CONSUMER BEHAVIOUR,BU3710-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU3710-1.PDF
BU4501,STRATEGIC MANAGEMENT: THEORY AND PRACTICE,BU4501-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU4501-1.PDF
BU4511,INTERNATIONAL BUSINESS AND THE GLOBAL ECONOMY,BU4511-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU4511-1.PDF
BU4522,EXPLORING ORGANISATIONAL EXPERIENCES,X-BU4522-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU4522-1.PDF
